producto_id,investigador_id,orden,rol,activo
P-GR-034807DBAB41,I-0000120594,,Autor listado en GrupLAC,1
P-GR-034807DBAB41,I-0000789100,,Autor listado en GrupLAC,1
P-GR-036B09ADA2D1,I-0000424382,,Autor listado en GrupLAC,1
P-GR-036B09ADA2D1,I-0001722870,,Autor listado en GrupLAC,1
P-GR-037046A4E503,I-0000107603,,Autor listado en GrupLAC,1
P-GR-0379976BB14C,I-0001065971,,Autor listado en GrupLAC,1
P-GR-0379976BB14C,I-0001399998,,Autor listado en GrupLAC,1
P-GR-03829DFEA880,I-0000015701,,Autor listado en GrupLAC,1
P-GR-038623C152F5,I-0000197840,,Autor listado en GrupLAC,1
P-GR-038BC99DC1E2,I-0000997811,,Autor listado en GrupLAC,1
P-GR-038BC99DC1E2,I-0001037714,,Autor listado en GrupLAC,1
P-GR-038CE30E3B98,I-0001578081,,Autor listado en GrupLAC,1
P-GR-03928EDCA675,I-0000107603,,Autor listado en GrupLAC,1
P-GR-03928EDCA675,I-0000983098,,Autor listado en GrupLAC,1
P-GR-0398BAE06487,I-0000064046,,Autor listado en GrupLAC,1
P-GR-0398BAE06487,I-0001498233,,Autor listado en GrupLAC,1
P-GR-039E02990DF4,I-0000214680,,Autor listado en GrupLAC,1
P-GR-03A70DDC06B9,I-0001056786,,Autor listado en GrupLAC,1
P-GR-03AB3915C1A2,I-0000126218,,Autor listado en GrupLAC,1
P-GR-03B4434477AF,I-0000666106,,Autor listado en GrupLAC,1
P-GR-03B4434477AF,I-0000749028,,Autor listado en GrupLAC,1
P-GR-03BF9F050BC6,I-0001200968,,Autor listado en GrupLAC,1
P-GR-03BF9F050BC6,I-0001404374,,Autor listado en GrupLAC,1
P-GR-03C33C571AE1,I-0001416765,,Autor listado en GrupLAC,1
P-GR-03C33C571AE1,I-0002028220,,Autor listado en GrupLAC,1
P-GR-03D21674A6C7,I-0000284009,,Autor listado en GrupLAC,1
P-GR-03D21674A6C7,I-0000424226,,Autor listado en GrupLAC,1
P-GR-03D651C4A58E,I-0000649996,,Autor listado en GrupLAC,1
P-GR-03DE299D4E28,I-0000424382,,Autor listado en GrupLAC,1
P-GR-03E8C33CB013,I-0000525898,,Autor listado en GrupLAC,1
P-GR-03EB18D04E5F,I-0000076903,,Autor listado en GrupLAC,1
P-GR-03F4AF5EB4A8,I-0002114275,,Autor listado en GrupLAC,1
P-GR-03F9B5D171F9,I-0001065971,,Autor listado en GrupLAC,1
P-GR-03FAD86DA66F,I-0000112231,,Autor listado en GrupLAC,1
P-GR-03FAD86DA66F,I-0000155858,,Autor listado en GrupLAC,1
P-GR-0401107B7DD3,I-0000116197,,Autor listado en GrupLAC,1
P-GR-040C41F8272F,I-0000689173,,Autor listado en GrupLAC,1
P-GR-0427D15C8E37,I-0001381258,,Autor listado en GrupLAC,1
P-GR-0430A1BDC9F9,I-0000424382,,Autor listado en GrupLAC,1
P-GR-0436685FC502,I-0000186728,,Autor listado en GrupLAC,1
P-GR-044452245F00,I-0000432415,,Autor listado en GrupLAC,1
P-GR-0457F408BF65,I-0000462659,,Autor listado en GrupLAC,1
P-GR-0457F408BF65,I-0000484768,,Autor listado en GrupLAC,1
P-GR-045B0A2134FC,I-0000062482,,Autor listado en GrupLAC,1
P-GR-045B0A2134FC,I-0001682069,,Autor listado en GrupLAC,1
P-GR-045B0A2134FC,I-0002031169,,Autor listado en GrupLAC,1
P-GR-045D46A67A04,I-0001403188,,Autor listado en GrupLAC,1
P-GR-045E44C03ECF,I-0000019476,,Autor listado en GrupLAC,1
P-GR-045E44C03ECF,I-0000247413,,Autor listado en GrupLAC,1
P-GR-045E44C03ECF,I-0001426247,,Autor listado en GrupLAC,1
P-GR-04691A8BC270,I-0001359432,,Autor listado en GrupLAC,1
P-GR-046C0F6B7735,I-0001349651,,Autor listado en GrupLAC,1
P-GR-047EDB74E9C9,I-0000612413,,Autor listado en GrupLAC,1
P-GR-047EDB74E9C9,I-0001049615,,Autor listado en GrupLAC,1
P-GR-047EDB74E9C9,I-0001587404,,Autor listado en GrupLAC,1
P-GR-047EDB74E9C9,I-0001639142,,Autor listado en GrupLAC,1
P-GR-047EDB74E9C9,I-0001681334,,Autor listado en GrupLAC,1
P-GR-048B25CFF551,I-0000047376,,Autor listado en GrupLAC,1
P-GR-048DAE7FC1A7,I-0001359432,,Autor listado en GrupLAC,1
P-GR-048DAE7FC1A7,I-0001445220,,Autor listado en GrupLAC,1
P-GR-049F7749FE70,I-0001401310,,Autor listado en GrupLAC,1
P-GR-04A11277DBBF,I-0000026734,,Autor listado en GrupLAC,1
P-GR-04A11277DBBF,I-0001409629,,Autor listado en GrupLAC,1
P-GR-04A11277DBBF,I-0001462454,,Autor listado en GrupLAC,1
P-GR-04AC59848F8D,I-0000310581,,Autor listado en GrupLAC,1
P-GR-04AC59848F8D,I-0000501816,,Autor listado en GrupLAC,1
P-GR-04ACCE3F2EB3,I-0000789100,,Autor listado en GrupLAC,1
P-GR-04ACCE3F2EB3,I-0001517410,,Autor listado en GrupLAC,1
P-GR-04C28BDFCF7B,I-0001064371,,Autor listado en GrupLAC,1
P-GR-04C823DD76E5,I-0000395536,,Autor listado en GrupLAC,1
P-GR-04D11726B072,I-0002222628,,Autor listado en GrupLAC,1
P-GR-04DA2B908A24,I-0000235164,,Autor listado en GrupLAC,1
P-GR-04ED991315E9,I-0000250457,,Autor listado en GrupLAC,1
P-GR-04ED991315E9,I-0001459539,,Autor listado en GrupLAC,1
P-GR-04EF9C477337,I-0000009747,,Autor listado en GrupLAC,1
P-GR-04EF9C477337,I-0001528783,,Autor listado en GrupLAC,1
P-GR-04F316EBABBD,I-0000107603,,Autor listado en GrupLAC,1
P-GR-04F316EBABBD,I-0000233633,,Autor listado en GrupLAC,1
P-GR-04F316EBABBD,I-0000241687,,Autor listado en GrupLAC,1
P-GR-050096580FA8,I-0001619352,,Autor listado en GrupLAC,1
P-GR-050913D9FCCB,I-0000150630,,Autor listado en GrupLAC,1
P-GR-050D1FD5EECC,I-0000939960,,Autor listado en GrupLAC,1
P-GR-0519439035D1,I-0000163088,,Autor listado en GrupLAC,1
P-GR-0519439035D1,I-0001076035,,Autor listado en GrupLAC,1
P-GR-0519439035D1,I-0001349651,,Autor listado en GrupLAC,1
P-GR-0519439035D1,I-0001736665,,Autor listado en GrupLAC,1
P-GR-0526153ACB76,I-0000056359,,Autor listado en GrupLAC,1
P-GR-0526153ACB76,I-0001425567,,Autor listado en GrupLAC,1
P-GR-0526153ACB76,I-0001465942,,Autor listado en GrupLAC,1
P-GR-0526C4BED7C8,I-0000440027,,Autor listado en GrupLAC,1
P-GR-0537B3839B08,I-0000997811,,Autor listado en GrupLAC,1
P-GR-053D8CC7909E,I-0000871613,,Autor listado en GrupLAC,1
P-GR-053D8CC7909E,I-0001404285,,Autor listado en GrupLAC,1
P-GR-054CA01753A9,I-0002019853,,Autor listado en GrupLAC,1
P-GR-056348F66FE4,I-0000554693,,Autor listado en GrupLAC,1
P-GR-056A3CB26CD8,I-0000590711,,Autor listado en GrupLAC,1
P-GR-0576716179D1,I-0000589365,,Autor listado en GrupLAC,1
P-GR-05799E2BA7AF,I-0000144040,,Autor listado en GrupLAC,1
P-GR-05799E2BA7AF,I-0000336777,,Autor listado en GrupLAC,1
P-GR-05799E2BA7AF,I-0001647221,,Autor listado en GrupLAC,1
P-GR-057B9DDBA9C6,I-0000806897,,Autor listado en GrupLAC,1
P-GR-057FF360D6C0,I-0001027077,,Autor listado en GrupLAC,1
P-GR-057FF360D6C0,I-0001404374,,Autor listado en GrupLAC,1
P-GR-057FF360D6C0,I-0001498712,,Autor listado en GrupLAC,1
P-GR-057FF360D6C0,I-0001718115,,Autor listado en GrupLAC,1
P-GR-058456D5102C,I-0000154733,,Autor listado en GrupLAC,1
P-GR-058456D5102C,I-0000419923,,Autor listado en GrupLAC,1
P-GR-058456D5102C,I-0001166476,,Autor listado en GrupLAC,1
P-GR-05A439C15E3D,I-0000786357,,Autor listado en GrupLAC,1
P-GR-05C327AC4123,I-0000233633,,Autor listado en GrupLAC,1
P-GR-05C867A6E113,I-0001065971,,Autor listado en GrupLAC,1
P-GR-05D608C1458F,I-0001359432,,Autor listado en GrupLAC,1
P-GR-05DC58A161C9,I-0001484144,,Autor listado en GrupLAC,1
P-GR-05DEFFF313DF,I-0001528479,,Autor listado en GrupLAC,1
P-GR-05E26F952A94,I-0000028758,,Autor listado en GrupLAC,1
P-GR-05E26F952A94,I-0000073192,,Autor listado en GrupLAC,1
