grupo_id,producto_id,origen,activo
G-00000000000900,P-GR-5FC1262322B5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5FDE5E61B095,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5FE679EBB92C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6024F02CD37C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-60454481FB5D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-608CB37C4FA0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-612B987F4D1F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-62E5C29C928C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-64818EC94141,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-64E35FEF7DEB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-64EE0CBDCFDF,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-66172217FECA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6678755D3DD2,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-66EFC0D680C6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-67B26789E5E2,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6A532769FD81,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6B2011E4A7BB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6B42819D3978,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6B501F338E92,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6C0621051422,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6C1B650632D7,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6C830E6E94DD,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6DDE1923CE93,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6EA1A2F4B6BA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6F68B04C6EF9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6F92AF78E813,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-6F9A3E65F061,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7008E237D3E8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7009E63444DA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-70329C400561,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-72F9DAF1812E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-73362199F2CA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-74F8A60FC6AE,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-752C8BC86373,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-75AA4B8401D3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-75F1F4504EC4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-778C36277378,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-789B8B5BFED3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7A9832C4F911,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7ACF5E8A6810,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7ADB9074403E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7B0E30BF5F23,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7B1C4758FF42,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7BC7ECEC5EB0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7C597A994AD6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7CA6B560EB2C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7E428B09D735,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7E470747110E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7F7980218C70,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-7FFE9432DE63,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-800C059DEA1E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8045347B1920,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-80F91BA73655,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-826227AADD07,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-827E69FB6DBB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-82FA726024E8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-841FED665573,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8430A766FFC5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8434D0FFBDF0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8450C1DE4F58,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8484C33723A9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-861F5D65637F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-86A77012C97D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-86C4AE9ACBA3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-87CE86D18924,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-88CDD4563DB1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-895691AAB12D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8A68A24EB982,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8A6EB2FA46AC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8A779229BB4D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8C7F94D46475,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8D02C7FA350A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8DCD14757D78,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8E1EC3897EAC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-8FD3DBC571EA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-90325BD27A6F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-907B1B9FAED4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-908047D1497F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-91894E5F6687,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-93D0AFF87444,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-94AB57301F12,GrupLAC: producto listado en la ficha,1
