id,nombre,codigo_cvlac,afiliacion,categoria,contacto,url,fuente,activo
I-0001503437,MARIA ANGELICA SANCHEZ JULIO,0001503437,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001503437,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/5 - 2023/12",1
I-0002159641,Maria Camila Arias Teran,0002159641,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159641,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/12",1
I-0002159529,Maria Fernanda Arias Maestre,0002159529,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159529,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/12",1
I-0000185819,maria loraine villalba martinez,0000185819,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000185819,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/2 - 2024/12",1
I-0000082185,MARIA TERESA RINCON BECERRA,0000082185,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000082185,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/3 - 2023/2",1
I-0002159522,Michel Carolais Ricardo Ortiz,0002159522,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159522,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2022/6",1
I-0002159539,Nasly Sohara Lopez Jaimes,0002159539,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159539,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - 2023/12",1
I-0000122096,Orlando Scoppetta Diaz Granados,0000122096,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000122096,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - Actual",1
I-0001349276,Oscar Edmundo Narváez Martínez,0001349276,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001349276,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2021/3 - 2021/12",1
I-0000599514,Romelio Jose Gonzalez Daza,0000599514,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000599514,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/5 - Actual",1
I-0001631067,SERGIO ZAPATA ROMERO,0001631067,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001631067,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2020/8 - Actual",1
I-0002227342,Shirly Valentina Oñate Arzuaga,0002227342,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002227342,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - Actual",1
I-0002159533,Veronica Massiel Contreras Fierro,0002159533,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159533,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/12",1
I-0000148756,WILFER DE LEON FERNANDEZ DUARTE,0000148756,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000148756,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - 2023/12",1
I-0001653161,WYNTER JOAQUIN DIAZ CORZO,0001653161,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001653161,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/6 - Actual",1
I-0002384671,YOVANNY ORALDO ROMERO RAMIREZ,0002384671,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002384671,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/6 - Actual",1
I-0002113021,Yuranllelys Cordoba Brito,0002113021,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002113021,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/2 - Actual",1
I-0001161423,Fanny Matilde PINZON CANDELARIO,0001161423,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001161423,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/1 - Actual",1
I-0001561197,ABID SILVESTRE CAÑATE GONZALEZ,0001561197,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001561197,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2024/2 - Actual",1
I-0001568398,ALDER RODRIGUEZ ANGARITA,0001568398,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001568398,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2014/3 - 2018/11",1
I-0001608971,ALEJANDRA MARGARITA OLMEDO MEZA,0001608971,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001608971,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - Actual",1
I-0001582933,Alejandra Milena Cuadrado Salgado,0001582933,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001582933,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2014/8 - 2016/11",1
I-0001505340,ALEXANDER VERA VELASQUEZ,0001505340,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001505340,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2014/10 - 2016/11",1
I-0000017462,Alfredo De Jesús Mendoza Gámes,0000017462,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000017462,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2013/9 - 2014/1",1
I-0000444740,Alvaro Araujo Guerra,0000444740,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000444740,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2005/3 - Actual",1
I-0001593484,Alvaro Pineda Quintero,0001593484,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001593484,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2014/9 - 2016/4",1
I-0001415611,amairet rodriguez lopez,0001415611,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001415611,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2011/3 - 2012/1",1
